_projectid,_teacher_acctid,_schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_zip,school_metro,school_district,school_county,school_charter,school_magnet,school_year_round,school_nlns,school_kipp,school_charter_ready_promise,teacher_prefix,teacher_teach_for_america,teacher_ny_teaching_fellow,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,vendor_shipping_charges,sales_tax,payment_processing_charges,fulfillment_labor_materials,total_price_excluding_optional_support,total_price_including_optional_support,students_reached,total_donations,num_donors,eligible_double_your_impact_match,eligible_almost_home_match,funding_status,date_posted,date_completed,date_thank_you_packet_mailed,date_expiration
"""e565fb42185c6e9f22806ad9d5ac8a77""","""2e17c8c91cb58132d8103a9aa8797e80""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,Literacy,Literacy & Language,,,Books,highest poverty,Grades 9-12,,,,,280.02,341.49,0,308,1,f,f,completed,3/8/2007,3/8/2007,3/8/2007,12/31/2003
"""76108ed46f99f27beb4c605b69c92b07""","""6b3721c9585633fa716e629ec501ff5a""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Health & Life Science,Math & Science,,,Technology,highest poverty,Grades 9-12,,,,,299.95,365.79,0,329,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""2568882e4906849754bbe7246d01ed5e""","""ed55d66251be5810b38e1b2505b7673d""","""923a1f4850d4e09ad5b8d015ae988505""",3.60E+11,40.74221,-74.002041,New York,NY,10011,urban,New York City Dept Of Ed,New York (Manhattan),f,f,f,f,f,f,Mr.,f,f,Performing Arts,Music & The Arts,,,Trips,highest poverty,Grades 9-12,,,,,290,353.66,0,319,1,f,f,completed,11/11/2002,12/9/2002,12/9/2002,12/31/2003
"""e49f6d07f9da7086d2d823311639f479""","""ba7ada7b8ef61280b6e8783b59625650""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,College & Career Prep,Applied Learning,,,Books,highest poverty,Grades 9-12,,,,,348.04,424.44,0,382,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""548b161b4e808fb580075e03774da1b9""","""58574f5ee5f3d74a4be12379f8097310""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Character Education,Applied Learning,,,Books,highest poverty,Grades 9-12,,,,,297.39,362.67,0,327,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""dfc5e3a3bd22d8ee9d55e2ec29d1f1eb""","""fedc7312fac70db43893744ace15f187""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Books,highest poverty,Grades 9-12,,,,,388.39,473.65,0,388.39,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""be3c6a88818ef68fdfc00706e8950f8b""","""2e6deb2edcb9b2ef9bf4760c56661727""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Ms.,f,f,History & Geography,History & Civics,,,Technology,highest poverty,Grades 9-12,,,,,402,490.24,0,402,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""dd7ed1d74f70fb0e72c409d495e2eec3""","""d8f151a88a6d298fe5e6de3633a9cd75""","""45e7ddbdd7023f1eb65a6cc028d7414f""",3.60E+11,40.841691,-73.875457,Bronx,NY,10460,urban,New York City Dept Of Ed,Bronx,f,f,f,f,f,f,Mr.,f,f,History & Geography,History & Civics,,,Visitors,highest poverty,Grades 9-12,,,,,400,487.8,0,440,1,f,f,completed,11/11/2002,12/9/2002,12/9/2002,12/31/2001
"""c5d4a7877c463ed59e9aa7155f13fd59""","""262af4de8528628259ac9c6bb3ba386e""","""8c9ab8c021074381647582e111507219""",,40.826957,-73.892217,BRONX,NY,10459,,,Bronx,f,f,f,f,f,f,Ms.,f,f,Literature & Writing,Literacy & Language,,,Books,low poverty,Grades 9-12,,,,,321.19,391.7,0,353,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
"""8d94b238b50e7fadefb54afecc7aaa91""","""f8e7fa9cc031249fa67490fb41a5e30b""","""15b661612d21c9dd37de0092ed81e03a""",,40.826957,-73.892217,Bronx,NY,10459,,,Bronx,f,f,f,f,f,f,Ms.,f,f,Environmental Science,Math & Science,,,Technology,highest poverty,Grades 9-12,,,,,900,1097.56,0,1000,1,f,f,completed,11/11/2002,12/6/2002,12/6/2002,12/31/2003
